new_index,Company,Industry,Id,Tweet,Year,Date,No. Of Retweets,No. Of Favorites,Influence Score,Label,Month
0,Metrorex,Transportation,1300807959828672512,"['pmb', 'solicit', 'priv', 'suspend', 'circul', 'lini', 'tramv', 'onor', 'octombr']",2020,2020-09-1,0,0,4,-1,2020-09
1,Metrorex,Transportation,1298286375830265856,"['zi', 'coad', 'pest', 'licitat', 'arf', 'trenur', 'scurt', 'parcurs']",2020,2020-08-25,0,1,5,-1,2020-08
2,Metrorex,Transportation,1294747777566740481,"['car', 'alstom', 'firm', 'francez', 'car', 'ministr', 'transportur', 'intretin', 'ram', 'metrou', 'period', 'amenint', 'faliment', 'dac', 'nu', 'plat', 'sum', 'fabul', 'intretin']",2020,2020-08-15,3,7,20,-1,2020-08
3,Metrorex,Transportation,1294218420020482048,"['pregatest', 'exproprier', 'magistral', 'licitat', 'servic', 'cadastru']",2020,2020-08-14,0,1,5,1,2020-08
4,Metrorex,Transportation,1290588118945538054,"['licitat', 'tevarai', 'profesor', 'metal', 'valoar', 'euro']",2020,2020-08-4,0,0,4,0,2020-08
5,Metrorex,Transportation,1289918020740100098,"['dac', 'asa', 'raspund', 'roman']",2020,2020-08-2,0,0,4,-1,2020-08
6,Metrorex,Transportation,1287999692228493314,"['pandem', 'prelungest', 'reviz', 'trenur', 'bombardier', 'nu', 'pie', 'schimb']",2020,2020-07-28,0,1,5,-1,2020-07
7,Metrorex,Transportation,1286657898483941376,"['director', 'posibil', 'circular', 'metro', 'drum', 'tabere', 'septembr', 'ved']",2020,2020-07-24,0,0,4,0,2020-07
8,Metrorex,Transportation,1286643544221003776,"['director', 'parc', 'straul', 'vorb', 'grad', 'neocup', 'parcar']",2020,2020-07-24,1,3,10,-1,2020-07
9,Metrorex,Transportation,1286643499996270592,"['şef', 'intreb', 'dac', 'circul', 'metro', 'drum', 'tabere', 'septembr', 'ved']",2020,2020-07-24,1,1,8,-1,2020-07
10,Metrorex,Transportation,1286628226501169152,"['galer', 'foto', 'parc', 'straulest', 'sabot', 'polit', 'local', 'sector']",2020,2020-07-24,1,0,7,1,2020-07
11,Metrorex,Transportation,1285195897081667590,"['guvern', 'anuleaz', 'asocier', 'sector', 'moderniz', 'stat', 'metrou', 'piper']",2020,2020-07-20,0,0,4,-1,2020-07
12,Metrorex,Transportation,1283653944732979201,"['pandem', 'coronavirus', 'redus', 'pierder', 'milioan', 'lei']",2020,2020-07-16,0,1,5,1,2020-07
13,Metrorex,Transportation,1283367825751638019,"['personal', 'paz', 'metrou', 'redistribu', 'stat', 'trafic', 'intens']",2020,2020-07-15,0,0,4,0,2020-07
14,Metrorex,Transportation,1283247787132493825,"['anunt', 'niciun', 'nu', 'infect', 'covid', 'magistral', 'drum', 'tabere', 'prapad', 'londr', 'pre', 'mult', 'metrou']",2020,2020-07-15,0,1,5,-1,2020-07
15,Metrorex,Transportation,1283097236679921664,"['promit', 'main', 'spun', 'rezolv', 'mult', 'trenur', 'magistral']",2020,2020-07-14,0,1,5,-1,2020-07
16,Metrorex,Transportation,1283051076149813256,"['primit', 'job', 'min', 'econom', 'findc', 'leg', 'trebui', 'pazit', 'incint', 'toat', 'afac', 'mizer', 'leg', 'camin', 'erau', 'paznic', 'betiv', 'firm', 'serioas', 'ave', 'contract', 'aper']",2020,2020-07-14,0,0,4,-1,2020-07
17,Metrorex,Transportation,1282995310474792962,"['licitat', 'pest', 'milioan', 'euro', 'cart', 'magnet', 'cardur', 'contactles']",2020,2020-07-14,0,0,4,-1,2020-07
18,Metrorex,Transportation,1279344645152165888,"['nu', 'pupat', 'nic', 'bar', 'scaun', 'dac', 'nu', 'vez', 'nu', 'inseamn', 'nu', 'intampl', 'une', 'lucrur', 'intampl', 'far', 'vez']",2020,2020-07-4,0,1,5,-1,2020-07
19,Metrorex,Transportation,1279310884851113984,"['nu', 'fac', 'grev', 'impotr', 'nu', 'vazut', 'niciod', 'dezinfectand', 'bar', 'scaun', 'car', 'colcai', 'bacter', 'asta', 'nu', 'pun', 'nu']",2020,2020-07-4,0,1,5,-1,2020-07
20,Metrorex,Transportation,1278872101982629888,"['marian', 'miclaus', 'demis', 'funct', 'director', 'general', 'news', 'stir']",2020,2020-07-3,0,0,4,-1,2020-07
